split,scene,image,flight,family,venue,tof_cm,boxes
train,S1,S1_futsal_C1_20260717_084129_f000873.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f000882.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f000891.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,1
train,S1,S1_futsal_C1_20260717_084129_f000900.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f000909.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f000918.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f000927.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f000936.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f000945.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f000954.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f000963.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f000972.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f000981.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f000990.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f000999.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001008.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001017.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001026.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001035.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001044.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,1
train,S1,S1_futsal_C1_20260717_084129_f001053.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,1
train,S1,S1_futsal_C1_20260717_084129_f001062.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,84,1
train,S1,S1_futsal_C1_20260717_084129_f001071.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,1
train,S1,S1_futsal_C1_20260717_084129_f001080.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001089.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,1
train,S1,S1_futsal_C1_20260717_084129_f001098.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,1
train,S1,S1_futsal_C1_20260717_084129_f001107.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,1
train,S1,S1_futsal_C1_20260717_084129_f001116.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,1
train,S1,S1_futsal_C1_20260717_084129_f001125.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,1
train,S1,S1_futsal_C1_20260717_084129_f001134.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,1
train,S1,S1_futsal_C1_20260717_084129_f001143.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001152.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001161.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001170.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001179.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,1
train,S1,S1_futsal_C1_20260717_084129_f001188.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001197.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,1
train,S1,S1_futsal_C1_20260717_084129_f001206.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001215.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001224.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001233.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001242.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001251.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001260.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001269.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001278.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001287.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,1
train,S1,S1_futsal_C1_20260717_084129_f001296.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,1
train,S1,S1_futsal_C1_20260717_084129_f001305.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,1
train,S1,S1_futsal_C1_20260717_084129_f001314.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,1
train,S1,S1_futsal_C1_20260717_084129_f001323.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001332.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001341.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001350.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001359.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001368.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001377.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001386.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001395.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,1
train,S1,S1_futsal_C1_20260717_084129_f001404.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,1
train,S1,S1_futsal_C1_20260717_084129_f001413.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,78,1
train,S1,S1_futsal_C1_20260717_084129_f001422.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,78,1
train,S1,S1_futsal_C1_20260717_084129_f001431.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,77,1
train,S1,S1_futsal_C1_20260717_084129_f001440.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,77,0
train,S1,S1_futsal_C1_20260717_084129_f001449.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,77,0
train,S1,S1_futsal_C1_20260717_084129_f001458.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,77,0
train,S1,S1_futsal_C1_20260717_084129_f001467.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,78,0
train,S1,S1_futsal_C1_20260717_084129_f001476.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,78,0
train,S1,S1_futsal_C1_20260717_084129_f001485.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f001494.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f001503.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f001512.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,0
train,S1,S1_futsal_C1_20260717_084129_f001521.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,0
train,S1,S1_futsal_C1_20260717_084129_f001530.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,1
train,S1,S1_futsal_C1_20260717_084129_f001539.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001548.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001557.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001566.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,1
train,S1,S1_futsal_C1_20260717_084129_f001575.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,1
train,S1,S1_futsal_C1_20260717_084129_f001584.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001593.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001602.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001611.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,1
train,S1,S1_futsal_C1_20260717_084129_f001620.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001629.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,1
train,S1,S1_futsal_C1_20260717_084129_f001638.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,84,1
train,S1,S1_futsal_C1_20260717_084129_f001647.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,84,1
train,S1,S1_futsal_C1_20260717_084129_f001656.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001665.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001674.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,1
train,S1,S1_futsal_C1_20260717_084129_f001683.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,1
train,S1,S1_futsal_C1_20260717_084129_f001692.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,1
train,S1,S1_futsal_C1_20260717_084129_f001701.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001710.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001719.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,1
train,S1,S1_futsal_C1_20260717_084129_f001728.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001737.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001746.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001755.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001764.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,1
train,S1,S1_futsal_C1_20260717_084129_f001773.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,1
train,S1,S1_futsal_C1_20260717_084129_f001782.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,1
train,S1,S1_futsal_C1_20260717_084129_f001791.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,1
train,S1,S1_futsal_C1_20260717_084129_f001800.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,1
train,S1,S1_futsal_C1_20260717_084129_f001809.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,1
train,S1,S1_futsal_C1_20260717_084129_f001818.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,1
train,S1,S1_futsal_C1_20260717_084129_f001827.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,84,0
train,S1,S1_futsal_C1_20260717_084129_f001836.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,85,0
train,S1,S1_futsal_C1_20260717_084129_f001845.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,85,0
train,S1,S1_futsal_C1_20260717_084129_f001854.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,84,0
train,S1,S1_futsal_C1_20260717_084129_f001863.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,0
train,S1,S1_futsal_C1_20260717_084129_f001872.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f001881.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f001890.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,78,0
train,S1,S1_futsal_C1_20260717_084129_f001899.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f001908.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f001917.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f001926.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f001935.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f001944.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f001953.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f001962.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f001971.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f001980.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f001989.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f001998.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002007.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f002016.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f002025.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002034.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f002043.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f002052.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002061.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002070.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002079.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002088.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002097.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002106.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f002115.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002124.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f002133.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f002142.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f002151.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002160.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f002169.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f002178.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f002187.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,0
train,S1,S1_futsal_C1_20260717_084129_f002196.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,0
train,S1,S1_futsal_C1_20260717_084129_f002205.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,0
train,S1,S1_futsal_C1_20260717_084129_f002214.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,83,0
train,S1,S1_futsal_C1_20260717_084129_f002223.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,0
train,S1,S1_futsal_C1_20260717_084129_f002232.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f002241.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002250.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f002259.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002268.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002277.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,0
train,S1,S1_futsal_C1_20260717_084129_f002286.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,0
train,S1,S1_futsal_C1_20260717_084129_f002295.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,0
train,S1,S1_futsal_C1_20260717_084129_f002304.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,0
train,S1,S1_futsal_C1_20260717_084129_f002313.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,82,0
train,S1,S1_futsal_C1_20260717_084129_f002322.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f002331.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f002340.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f002349.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002358.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f002367.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f002376.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f002385.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f002394.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002403.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f002412.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f002421.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f002430.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002439.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,81,0
train,S1,S1_futsal_C1_20260717_084129_f002448.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002457.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002466.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f002475.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002484.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
train,S1,S1_futsal_C1_20260717_084129_f002493.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f002502.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,78,0
train,S1,S1_futsal_C1_20260717_084129_f002511.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,78,0
train,S1,S1_futsal_C1_20260717_084129_f002520.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,79,0
train,S1,S1_futsal_C1_20260717_084129_f002529.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,rooftop_court,80,0
