tag,slice,n,found,recall,recall_any_class
M4_yolov8n-p2_augmented_s456,occ:LIGHT,47,39,0.8298,
M4_yolov8n-p2_augmented_s456,occ:BYPASSED,239,236,0.9874,
M4_yolov8n-p2_augmented_s456,occ:AMBIGUOUS,500,416,0.8320,
M4_yolov8n-p2_augmented_s456,class:rc_car,2329,1676,0.7196,
M4_yolov8n-p2_augmented_s456,class:atv_sherp,927,537,0.5793,
M4_yolov8n-p2_augmented_s456,class:truck_peterbilt,911,478,0.5247,
M4_yolov8n-p2_augmented_s456,pred_budget,2659,3304,1.2426,0.25
M4_yolov8n-p2_augmented_s456,halluc_fullyocc,159,12,0.0755,0.25
M4_yolov8n-p2_augmented_s456_tiled2,size:<12,993,103,0.1037,0.1037
M4_yolov8n-p2_augmented_s456_tiled2,size:12-20,1149,714,0.6214,0.6214
M4_yolov8n-p2_augmented_s456_tiled2,size:20-32,1748,1604,0.9176,0.9176
M4_yolov8n-p2_augmented_s456_tiled2,size:32+,277,250,0.9025,0.9025
M4_yolov8n-p2_augmented_s456_tiled2,pred_budget,2659,3161,1.1888,0.25
M4_yolov8n-p2_augmented_s456_tiled2,halluc_fullyocc,159,13,0.0818,0.25
M4_yolov8n_augmented_s123,size:<12,993,67,0.0675,0.0675
M4_yolov8n_augmented_s123,size:12-20,1149,730,0.6353,0.6353
M4_yolov8n_augmented_s123,size:20-32,1748,1638,0.9371,0.9371
M4_yolov8n_augmented_s123,size:32+,277,270,0.9747,0.9747
M4_yolov8n_augmented_s123,occ:OCCLUDED,395,346,0.8759,
M4_yolov8n_augmented_s123,occ:LIGHT,47,34,0.7234,
M4_yolov8n_augmented_s123,occ:BYPASSED,239,237,0.9916,
M4_yolov8n_augmented_s123,occ:AMBIGUOUS,500,439,0.8780,
M4_yolov8n_augmented_s123,class:rc_car,2329,1716,0.7368,
M4_yolov8n_augmented_s123,class:atv_sherp,927,497,0.5361,
M4_yolov8n_augmented_s123,class:truck_peterbilt,911,492,0.5401,
M4_yolov8n_augmented_s123,pred_budget,2659,3575,1.3445,0.25
M4_yolov8n_augmented_s123,halluc_fullyocc,159,1,0.0063,0.25
M4_yolov8n_augmented_s123_tiled2,size:<12,993,109,0.1098,0.1098
M4_yolov8n_augmented_s123_tiled2,size:12-20,1149,774,0.6736,0.6736
M4_yolov8n_augmented_s123_tiled2,size:20-32,1748,1612,0.9222,0.9222
M4_yolov8n_augmented_s123_tiled2,size:32+,277,262,0.9458,0.9458
M4_yolov8n_augmented_s123_tiled2,pred_budget,2659,3375,1.2693,0.25
M4_yolov8n_augmented_s123_tiled2,halluc_fullyocc,159,3,0.0189,0.25
M4_yolov8n_augmented_s42,size:<12,993,52,0.0524,0.0544
M4_yolov8n_augmented_s42,size:12-20,1149,738,0.6423,0.6440
M4_yolov8n_augmented_s42,size:20-32,1748,1638,0.9371,0.9376
M4_yolov8n_augmented_s42,size:32+,277,270,0.9747,0.9747
M4_yolov8n_augmented_s42,occ:OCCLUDED,395,329,0.8329,
M4_yolov8n_augmented_s42,occ:LIGHT,47,34,0.7234,
M4_yolov8n_augmented_s42,occ:BYPASSED,239,237,0.9916,
M4_yolov8n_augmented_s42,occ:AMBIGUOUS,500,430,0.8600,
M4_yolov8n_augmented_s42,class:rc_car,2329,1712,0.7351,
M4_yolov8n_augmented_s42,class:atv_sherp,927,509,0.5491,
M4_yolov8n_augmented_s42,class:truck_peterbilt,911,477,0.5236,
M4_yolov8n_augmented_s42,pred_budget,2659,3523,1.3249,0.25
M4_yolov8n_augmented_s42,halluc_fullyocc,159,4,0.0252,0.25
M4_yolov8n_augmented_s42_tiled2,size:<12,993,83,0.0836,0.0836
M4_yolov8n_augmented_s42_tiled2,size:12-20,1149,664,0.5779,0.5779
M4_yolov8n_augmented_s42_tiled2,size:20-32,1748,1619,0.9262,0.9262
M4_yolov8n_augmented_s42_tiled2,size:32+,277,261,0.9422,0.9422
M4_yolov8n_augmented_s42_tiled2,pred_budget,2659,3240,1.2185,0.25
M4_yolov8n_augmented_s42_tiled2,halluc_fullyocc,159,6,0.0377,0.25
M4_yolov8n_augmented_s456,size:<12,993,30,0.0302,0.0302
M4_yolov8n_augmented_s456,size:12-20,1149,726,0.6319,0.6327
M4_yolov8n_augmented_s456,size:20-32,1748,1637,0.9365,0.9365
M4_yolov8n_augmented_s456,size:32+,277,269,0.9711,0.9711
M4_yolov8n_augmented_s456,occ:OCCLUDED,395,302,0.7646,
M4_yolov8n_augmented_s456,occ:LIGHT,47,36,0.7660,
M4_yolov8n_augmented_s456,occ:BYPASSED,239,237,0.9916,
M4_yolov8n_augmented_s456,occ:AMBIGUOUS,500,442,0.8840,
M4_yolov8n_augmented_s456,class:rc_car,2329,1695,0.7278,
M4_yolov8n_augmented_s456,class:atv_sherp,927,474,0.5113,
M4_yolov8n_augmented_s456,class:truck_peterbilt,911,493,0.5412,
M4_yolov8n_augmented_s456,pred_budget,2659,3501,1.3167,0.25
M4_yolov8n_augmented_s456,halluc_fullyocc,159,14,0.0881,0.25
M4_yolov8n_augmented_s456_tiled2,size:<12,993,117,0.1178,0.1178
M4_yolov8n_augmented_s456_tiled2,size:12-20,1149,711,0.6188,0.6188
M4_yolov8n_augmented_s456_tiled2,size:20-32,1748,1638,0.9371,0.9371
M4_yolov8n_augmented_s456_tiled2,size:32+,277,262,0.9458,0.9458
M4_yolov8n_augmented_s456_tiled2,pred_budget,2659,3322,1.2493,0.25
M4_yolov8n_augmented_s456_tiled2,halluc_fullyocc,159,6,0.0377,0.25
M4_yolov8n_baseline_s123,size:<12,993,70,0.0705,0.0715
M4_yolov8n_baseline_s123,size:12-20,1149,690,0.6005,0.6005
M4_yolov8n_baseline_s123,size:20-32,1748,1634,0.9348,0.9348
M4_yolov8n_baseline_s123,size:32+,277,269,0.9711,0.9711
M4_yolov8n_baseline_s123,occ:OCCLUDED,395,329,0.8329,
M4_yolov8n_baseline_s123,occ:LIGHT,47,40,0.8511,
M4_yolov8n_baseline_s123,occ:BYPASSED,239,237,0.9916,
M4_yolov8n_baseline_s123,occ:AMBIGUOUS,500,429,0.8580,
M4_yolov8n_baseline_s123,class:rc_car,2329,1630,0.6999,
M4_yolov8n_baseline_s123,class:atv_sherp,927,523,0.5642,
M4_yolov8n_baseline_s123,class:truck_peterbilt,911,510,0.5598,
M4_yolov8n_baseline_s123,pred_budget,2659,3421,1.2866,0.25
M4_yolov8n_baseline_s123,halluc_fullyocc,159,24,0.1509,0.25
M4_yolov8n_baseline_s123_tiled2,size:<12,993,63,0.0634,0.0634
M4_yolov8n_baseline_s123_tiled2,size:12-20,1149,662,0.5762,0.5762
M4_yolov8n_baseline_s123_tiled2,size:20-32,1748,1562,0.8936,0.8936
M4_yolov8n_baseline_s123_tiled2,size:32+,277,258,0.9314,0.9314
M4_yolov8n_baseline_s123_tiled2,pred_budget,2659,3049,1.1467,0.25
M4_yolov8n_baseline_s123_tiled2,halluc_fullyocc,159,7,0.0440,0.25
M4_yolov8n_baseline_s42,size:<12,993,66,0.0665,0.0715
M4_yolov8n_baseline_s42,size:12-20,1149,652,0.5674,0.5674
M4_yolov8n_baseline_s42,size:20-32,1748,1604,0.9176,0.9182
M4_yolov8n_baseline_s42,size:32+,277,269,0.9711,0.9711
M4_yolov8n_baseline_s42,occ:OCCLUDED,395,354,0.8962,
M4_yolov8n_baseline_s42,occ:LIGHT,47,37,0.7872,
M4_yolov8n_baseline_s42,occ:BYPASSED,239,238,0.9958,
M4_yolov8n_baseline_s42,occ:AMBIGUOUS,500,429,0.8580,
M4_yolov8n_baseline_s42,class:rc_car,2329,1616,0.6939,
M4_yolov8n_baseline_s42,class:atv_sherp,927,503,0.5426,
M4_yolov8n_baseline_s42,class:truck_peterbilt,911,472,0.5181,
M4_yolov8n_baseline_s42,pred_budget,2659,3407,1.2813,0.25
M4_yolov8n_baseline_s42,halluc_fullyocc,159,18,0.1132,0.25
M4_yolov8n_baseline_s42_tiled2,size:<12,993,82,0.0826,0.0826
M4_yolov8n_baseline_s42_tiled2,size:12-20,1149,686,0.5970,0.5970
M4_yolov8n_baseline_s42_tiled2,size:20-32,1748,1628,0.9314,0.9314
M4_yolov8n_baseline_s42_tiled2,size:32+,277,255,0.9206,0.9206
M4_yolov8n_baseline_s42_tiled2,pred_budget,2659,3169,1.1918,0.25
M4_yolov8n_baseline_s42_tiled2,halluc_fullyocc,159,7,0.0440,0.25
M4_yolov8n_baseline_s456,size:<12,993,59,0.0594,0.0594
M4_yolov8n_baseline_s456,size:12-20,1149,677,0.5892,0.5892
M4_yolov8n_baseline_s456,size:20-32,1748,1583,0.9056,0.9056
M4_yolov8n_baseline_s456,size:32+,277,268,0.9675,0.9675
M4_yolov8n_baseline_s456,occ:OCCLUDED,395,350,0.8861,
M4_yolov8n_baseline_s456,occ:LIGHT,47,36,0.7660,
M4_yolov8n_baseline_s456,occ:BYPASSED,239,236,0.9874,
M4_yolov8n_baseline_s456,occ:AMBIGUOUS,500,431,0.8620,
M4_yolov8n_baseline_s456,class:rc_car,2329,1593,0.6840,
M4_yolov8n_baseline_s456,class:atv_sherp,927,517,0.5577,
M4_yolov8n_baseline_s456,class:truck_peterbilt,911,477,0.5236,
M4_yolov8n_baseline_s456,pred_budget,2659,3154,1.1862,0.25
M4_yolov8n_baseline_s456,halluc_fullyocc,159,12,0.0755,0.25
M4_yolov8n_baseline_s456_tiled2,size:<12,993,94,0.0947,0.0947
M4_yolov8n_baseline_s456_tiled2,size:12-20,1149,679,0.5909,0.5909
M4_yolov8n_baseline_s456_tiled2,size:20-32,1748,1593,0.9113,0.9113
M4_yolov8n_baseline_s456_tiled2,size:32+,277,256,0.9242,0.9242
M4_yolov8n_baseline_s456_tiled2,pred_budget,2659,3109,1.1692,0.25
M4_yolov8n_baseline_s456_tiled2,halluc_fullyocc,159,7,0.0440,0.25
M4_yolov8s_augmented_s123,size:<12,993,78,0.0785,0.0785
M4_yolov8s_augmented_s123,size:12-20,1149,717,0.6240,0.6240
M4_yolov8s_augmented_s123,size:20-32,1748,1553,0.8884,0.8884
M4_yolov8s_augmented_s123,size:32+,277,267,0.9639,0.9639
M4_yolov8s_augmented_s123,occ:OCCLUDED,395,339,0.8582,
M4_yolov8s_augmented_s123,occ:LIGHT,47,34,0.7234,
M4_yolov8s_augmented_s123,occ:BYPASSED,239,239,1.0000,
M4_yolov8s_augmented_s123,occ:AMBIGUOUS,500,427,0.8540,
M4_yolov8s_augmented_s123,class:rc_car,2329,1595,0.6848,
M4_yolov8s_augmented_s123,class:atv_sherp,927,534,0.5761,
M4_yolov8s_augmented_s123,class:truck_peterbilt,911,486,0.5335,
M4_yolov8s_augmented_s123,pred_budget,2659,3234,1.2162,0.25
M4_yolov8s_augmented_s123,halluc_fullyocc,159,9,0.0566,0.25
M4_yolov8s_augmented_s123_tiled2,size:<12,993,116,0.1168,0.1168
M4_yolov8s_augmented_s123_tiled2,size:12-20,1149,749,0.6519,0.6519
M4_yolov8s_augmented_s123_tiled2,size:20-32,1748,1579,0.9033,0.9033
M4_yolov8s_augmented_s123_tiled2,size:32+,277,262,0.9458,0.9458
M4_yolov8s_augmented_s123_tiled2,pred_budget,2659,3260,1.2260,0.25
M4_yolov8s_augmented_s123_tiled2,halluc_fullyocc,159,8,0.0503,0.25
M4_yolov8s_augmented_s456,size:<12,993,78,0.0785,0.0806
M4_yolov8s_augmented_s456,size:12-20,1149,719,0.6258,0.6258
M4_yolov8s_augmented_s456,size:20-32,1748,1623,0.9285,0.9285
M4_yolov8s_augmented_s456,size:32+,277,264,0.9531,0.9531
M4_yolov8s_augmented_s456,occ:OCCLUDED,395,362,0.9165,
M4_yolov8s_augmented_s456,occ:LIGHT,47,31,0.6596,
M4_yolov8s_augmented_s456,occ:BYPASSED,239,237,0.9916,
M4_yolov8s_augmented_s456,occ:AMBIGUOUS,500,419,0.8380,
M4_yolov8s_augmented_s456,class:rc_car,2329,1674,0.7188,
M4_yolov8s_augmented_s456,class:atv_sherp,927,525,0.5663,
M4_yolov8s_augmented_s456,class:truck_peterbilt,911,485,0.5324,
M4_yolov8s_augmented_s456,pred_budget,2659,3188,1.1989,0.25
M4_yolov8s_augmented_s456,halluc_fullyocc,159,10,0.0629,0.25
M4_yolov8s_augmented_s456_tiled2,size:<12,993,91,0.0916,0.0916
M4_yolov8s_augmented_s456_tiled2,size:12-20,1149,723,0.6292,0.6292
M4_yolov8s_augmented_s456_tiled2,size:20-32,1748,1614,0.9233,0.9233
M4_yolov8s_augmented_s456_tiled2,size:32+,277,265,0.9567,0.9567
M4_yolov8s_augmented_s456_tiled2,pred_budget,2659,3139,1.1805,0.25
M4_yolov8s_augmented_s456_tiled2,halluc_fullyocc,159,7,0.0440,0.25
M_v8n_baseline_s42,size:<12,993,83,0.0836,0.0836
M_v8n_baseline_s42,size:12-20,1149,768,0.6684,0.6693
M_v8n_baseline_s42,size:20-32,1748,1646,0.9416,0.9422
M_v8n_baseline_s42,size:32+,277,272,0.9819,0.9819
M_v8n_baseline_s42,class:rc_car,2329,1634,0.7016,
M_v8n_baseline_s42,class:atv_sherp,927,538,0.5804,
M_v8n_baseline_s42,class:truck_peterbilt,911,597,0.6553,
M_v8n_baseline_s123,size:<12,993,93,0.0937,0.0957
M_v8n_baseline_s123,size:12-20,1149,796,0.6928,0.6928
M_v8n_baseline_s123,size:20-32,1748,1628,0.9314,0.9314
M_v8n_baseline_s123,size:32+,277,269,0.9711,0.9711
M_v8n_baseline_s123,occ:OCCLUDED,395,339,0.8582,
M_v8n_baseline_s123,occ:LIGHT,47,32,0.6809,
M_v8n_baseline_s123,occ:BYPASSED,239,236,0.9874,
M_v8n_baseline_s123,occ:AMBIGUOUS,500,429,0.8580,
M_v8n_baseline_s123,class:rc_car,2329,1643,0.7055,
M_v8n_baseline_s123,class:atv_sherp,927,560,0.6041,
M_v8n_baseline_s123,class:truck_peterbilt,911,583,0.6400,
M_v8n_baseline_s456,size:<12,993,78,0.0785,0.0876
M_v8n_baseline_s456,size:12-20,1149,736,0.6406,0.6414
M_v8n_baseline_s456,size:20-32,1748,1580,0.9039,0.9039
M_v8n_baseline_s456,size:32+,277,270,0.9747,0.9747
M_v8n_baseline_s456,occ:OCCLUDED,395,349,0.8835,
M_v8n_baseline_s456,occ:LIGHT,47,32,0.6809,
M_v8n_baseline_s456,occ:BYPASSED,239,235,0.9833,
M_v8n_baseline_s456,occ:AMBIGUOUS,500,420,0.8400,
M_v8n_baseline_s456,class:rc_car,2329,1578,0.6775,
M_v8n_baseline_s456,class:atv_sherp,927,535,0.5771,
M_v8n_baseline_s456,class:truck_peterbilt,911,551,0.6048,
