image,flight,role,pair_id,tags,x,y,w,h,sqrt_area_px,coco_size,tof_cm,yaw_deg,occluder,occ_level,occlusion_frac,gsd_at_mat_mm_px,est_length_mm_at_mat_plane
S1_futsal_C1_20260717_084129_f001260.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,blur_moderate,0.0,406.0,48.0,33.0,39.8,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001269.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,-0.0,406.0,46.0,33.0,38.96,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001278.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,406.0,45.0,33.0,38.54,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001287.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,406.0,43.0,35.0,38.79,medium,80,0,none,0,,,
S1_futsal_C1_20260717_084129_f001296.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,405.0,39.0,34.0,36.41,medium,80,0,none,0,,,
S1_futsal_C1_20260717_084129_f001305.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,404.0,39.0,34.0,36.41,medium,79,0,none,0,,,
S1_futsal_C1_20260717_084129_f001314.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,406.0,38.0,34.0,35.94,medium,80,0,none,0,,,
S1_futsal_C1_20260717_084129_f001323.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,405.0,39.0,36.0,37.47,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001332.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,404.0,36.0,39.0,37.47,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001341.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,408.0,31.0,35.0,32.94,medium,82,0,none,0,,5.26,163
S1_futsal_C1_20260717_084129_f001350.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,408.0,29.0,35.0,31.86,small,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001359.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,408.0,27.0,30.0,28.46,small,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001368.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,-0.0,407.0,28.0,31.0,29.46,small,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001377.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,408.0,25.0,30.0,27.39,small,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001386.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,407.0,23.0,30.0,26.27,small,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001395.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,blur_moderate,0.0,404.0,22.0,32.0,26.53,small,80,0,none,0,,,
S1_futsal_C1_20260717_084129_f001404.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,blur_moderate,0.0,403.0,20.0,24.0,21.91,small,79,0,none,0,,,
S1_futsal_C1_20260717_084129_f001413.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,397.0,19.0,27.0,22.65,small,78,0,none,0,,,
S1_futsal_C1_20260717_084129_f001422.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,393.0,15.0,22.0,18.17,small,78,0,none,0,,,
S1_futsal_C1_20260717_084129_f001431.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,1.0,398.0,9.0,17.0,12.37,small,77,0,none,0,,,
S1_futsal_C1_20260717_084129_f001530.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,1.0,404.0,8.0,24.0,13.86,small,83,0,none,0,,,
S1_futsal_C1_20260717_084129_f001539.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,405.0,13.0,16.0,14.42,small,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001548.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,405.0,13.0,16.0,14.42,small,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001557.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,405.0,10.0,24.0,15.49,small,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001566.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,-0.0,407.0,21.0,19.0,19.98,small,83,0,none,0,,,
S1_futsal_C1_20260717_084129_f001575.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,403.0,18.0,29.0,22.85,small,83,0,none,0,,5.50,99
S1_futsal_C1_20260717_084129_f001584.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,406.0,18.0,31.0,23.62,small,82,0,none,0,,5.41,97
S1_futsal_C1_20260717_084129_f001593.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,403.0,24.0,30.0,26.83,small,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001602.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,401.0,25.0,37.0,30.41,small,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001611.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,-0.0,402.0,28.0,35.0,31.31,small,83,0,none,0,,,
S1_futsal_C1_20260717_084129_f001620.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,401.0,33.0,36.0,34.47,medium,82,1,none,0,,,
S1_futsal_C1_20260717_084129_f001629.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,404.0,35.0,34.0,34.5,medium,83,0,none,0,,,
S1_futsal_C1_20260717_084129_f001638.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,405.0,37.0,33.0,34.94,medium,84,0,none,0,,,
S1_futsal_C1_20260717_084129_f001647.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,403.0,39.0,32.0,35.33,medium,84,0,none,0,,,
S1_futsal_C1_20260717_084129_f001656.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,-0.0,399.0,40.0,32.0,35.78,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001665.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,397.0,43.0,32.0,37.09,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001674.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,-0.0,396.0,46.0,31.0,37.76,medium,83,0,none,0,,,
S1_futsal_C1_20260717_084129_f001683.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,394.0,50.0,31.0,39.37,medium,83,0,none,0,,,
S1_futsal_C1_20260717_084129_f001692.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,391.0,52.0,29.0,38.83,medium,83,0,none,0,,,
S1_futsal_C1_20260717_084129_f001701.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,387.0,54.0,32.0,41.57,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001710.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,386.0,54.0,30.0,40.25,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001719.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,381.0,54.0,32.0,41.57,medium,82,0,none,0,,,
S1_futsal_C1_20260717_084129_f001728.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,379.0,55.0,28.0,39.24,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001737.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,377.0,54.0,28.0,38.88,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001746.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,-0.0,378.0,52.0,28.0,38.16,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001755.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,379.0,52.0,28.0,38.16,medium,81,0,none,0,,,
S1_futsal_C1_20260717_084129_f001764.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,380.0,48.0,27.0,36.0,medium,80,0,none,0,,,
S1_futsal_C1_20260717_084129_f001773.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,377.0,45.0,28.0,35.5,medium,80,0,none,0,,,
S1_futsal_C1_20260717_084129_f001782.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,379.0,39.0,32.0,35.33,medium,79,0,none,0,,,
S1_futsal_C1_20260717_084129_f001791.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,381.0,31.0,38.0,34.32,medium,79,0,none,0,,,
S1_futsal_C1_20260717_084129_f001800.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,386.0,25.0,37.0,30.41,small,80,0,none,0,,,
S1_futsal_C1_20260717_084129_f001809.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,-0.0,392.0,16.0,34.0,23.32,small,81,0,none,0,,5.50,88
S1_futsal_C1_20260717_084129_f001818.jpg,S1_futsal_C1_20260717_084129,C1_approach_aux,,,0.0,397.0,10.0,31.0,17.61,small,83,0,none,0,,,
S1_futsal_C1_20260724_074934_f000000.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,42.0,21.0,29.7,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000007.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,697.0,155.0,42.0,21.0,29.7,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000014.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,22.0,30.76,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000021.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,21.0,30.05,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000028.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,21.0,30.05,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000035.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,696.0,154.0,48.0,25.0,34.64,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000042.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,698.0,153.0,57.0,36.0,45.3,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000049.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,691.0,154.0,60.0,32.0,43.82,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000056.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,695.0,152.0,52.0,30.0,39.5,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000063.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,691.0,148.0,51.0,31.0,39.76,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000070.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,697.0,152.0,46.0,31.0,37.76,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000077.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,700.0,155.0,43.0,22.0,30.76,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000084.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,693.0,151.0,52.0,30.0,39.5,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000091.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,700.0,155.0,42.0,22.0,30.4,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000098.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,700.0,155.0,43.0,22.0,30.76,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000105.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,22.0,30.76,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000112.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,21.0,30.05,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000119.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,21.0,30.05,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000126.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,21.0,30.05,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000133.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,22.0,30.76,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000140.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,696.0,149.0,49.0,33.0,40.21,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000147.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,45.0,22.0,31.46,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000154.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,21.0,30.05,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000161.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,21.0,30.05,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000168.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,22.0,30.76,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000175.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,42.0,21.0,29.7,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000182.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,695.0,152.0,49.0,28.0,37.04,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000189.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,42.0,21.0,29.7,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000196.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,42.0,21.0,29.7,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000203.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,21.0,30.05,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000210.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,22.0,30.76,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000217.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,22.0,30.76,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000224.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,700.0,155.0,43.0,22.0,30.76,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000231.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,700.0,155.0,43.0,22.0,30.76,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000238.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,700.0,155.0,42.0,22.0,30.4,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000245.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,700.0,155.0,42.0,22.0,30.4,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000252.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,700.0,155.0,42.0,22.0,30.4,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000259.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,694.0,148.0,48.0,29.0,37.31,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000266.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,698.0,155.0,46.0,22.0,31.81,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000273.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,697.0,153.0,47.0,28.0,36.28,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000280.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,21.0,30.05,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000287.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,21.0,30.05,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000294.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,22.0,30.76,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000301.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,22.0,30.76,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000308.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,22.0,30.76,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000315.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,43.0,22.0,30.76,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000322.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,697.0,151.0,50.0,30.0,38.73,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000329.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,697.0,152.0,52.0,29.0,38.83,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000336.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,700.0,155.0,43.0,22.0,30.76,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000343.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,149.0,41.0,30.0,35.07,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000350.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,699.0,155.0,42.0,22.0,30.4,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000357.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,697.0,155.0,46.0,22.0,31.81,small,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000364.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,697.0,152.0,48.0,29.0,37.31,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000371.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,697.0,154.0,43.0,24.0,32.12,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000378.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,697.0,154.0,44.0,27.0,34.47,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000385.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,698.0,153.0,44.0,27.0,34.47,medium,10,0,none,0,,,
S1_futsal_C1_20260724_074934_f000392.jpg,S1_futsal_C1_20260724_074934,C1_sizesweep_low,,,694.0,150.0,54.0,33.0,42.21,medium,10,0,none,0,,,
